iter	Passed	Remaining
0	135	135415
1	136	68214
2	137	45675
3	138	34413
4	139	27806
5	140	23293
6	141	20056
7	142	17637
8	142	15744
9	143	14215
10	144	12962
11	144	11919
12	145	11041
13	146	10286
14	146	9629
15	151	9317
16	153	8848
17	154	8401
18	155	8006
19	155	7630
20	156	7287
21	156	6977
22	157	6694
23	158	6432
24	158	6190
25	159	5969
26	159	5759
27	160	5565
28	160	5387
29	161	5219
30	162	5064
31	162	4915
32	163	4779
33	163	4650
34	164	4527
35	164	4410
36	165	4301
37	165	4197
38	166	4108
39	167	4018
40	168	3929
41	168	3849
42	169	3771
43	170	3697
44	170	3623
45	171	3552
46	171	3484
47	172	3418
48	172	3356
49	173	3295
50	173	3237
51	174	3182
52	175	3127
53	175	3075
54	176	3026
55	176	2977
56	177	2930
57	177	2886
58	178	2843
59	178	2802
60	179	2762
61	180	2723
62	180	2691
63	181	2655
64	182	2621
65	182	2587
66	183	2556
67	184	2526
68	184	2495
69	185	2464
70	186	2435
71	186	2406
72	187	2377
73	187	2350
74	188	2323
75	188	2296
76	189	2270
77	189	2245
78	190	2221
79	191	2197
80	191	2173
81	192	2151
82	192	2126
83	193	2105
84	193	2085
85	194	2066
86	195	2048
87	196	2033
88	197	2016
89	197	1999
90	198	1981
91	199	1964
92	199	1947
93	200	1930
94	200	1913
95	201	1897
96	202	1880
97	202	1864
98	203	1848
99	203	1833
100	204	1818
101	204	1804
102	205	1789
103	206	1775
104	206	1761
105	207	1748
106	207	1734
107	208	1721
108	209	1708
109	209	1695
110	210	1683
111	210	1672
112	211	1660
113	212	1648
114	212	1637
115	213	1625
116	213	1613
117	214	1604
118	215	1593
119	215	1582
120	216	1574
121	217	1562
122	217	1552
123	218	1541
124	218	1531
125	219	1522
126	219	1511
127	220	1502
128	221	1493
129	221	1483
130	222	1474
131	222	1466
132	223	1456
133	223	1447
134	224	1438
135	225	1432
136	226	1424
137	226	1416
138	227	1408
139	227	1399
140	228	1391
141	228	1382
142	229	1374
143	229	1367
144	230	1359
145	231	1351
146	231	1344
147	232	1336
148	232	1329
149	233	1322
150	233	1315
151	234	1308
152	234	1300
153	235	1294
154	236	1287
155	236	1280
156	237	1274
157	237	1267
158	238	1260
159	238	1254
160	239	1248
161	240	1243
162	241	1238
163	241	1232
164	242	1226
165	243	1221
166	243	1215
167	244	1210
168	245	1205
169	245	1199
170	246	1193
171	246	1188
172	247	1182
173	247	1176
174	248	1171
175	249	1166
176	249	1161
177	250	1156
178	250	1150
179	251	1145
180	252	1140
181	252	1135
182	253	1129
183	253	1125
184	254	1120
185	255	1116
186	255	1112
187	256	1107
188	257	1103
189	257	1098
190	258	1094
191	258	1089
192	259	1084
193	260	1080
194	260	1076
195	261	1071
196	261	1066
197	262	1062
198	262	1057
199	263	1053
200	263	1049
201	264	1044
202	264	1040
203	265	1035
204	266	1031
205	266	1027
206	267	1023
207	267	1019
208	268	1015
209	268	1011
210	269	1008
211	270	1004
212	271	1001
213	271	997
214	272	994
215	272	990
216	273	986
217	274	982
218	274	979
219	275	976
220	276	973
221	276	969
222	277	966
223	277	962
224	278	959
225	279	955
226	279	952
227	280	948
228	280	945
229	281	941
230	282	938
231	282	935
232	283	932
233	284	930
234	285	927
235	285	924
236	286	921
237	286	917
238	287	914
239	287	911
240	288	908
241	288	905
242	289	901
243	290	898
244	290	895
245	291	892
246	291	889
247	292	886
248	292	883
249	293	880
250	293	877
251	294	874
252	294	871
253	295	867
254	296	865
255	296	862
256	297	859
257	297	856
258	298	853
259	299	851
260	300	849
261	300	847
262	301	844
263	302	842
264	302	839
265	303	837
266	304	835
267	304	832
268	305	829
269	306	827
270	306	824
271	307	822
272	307	819
273	308	817
274	308	814
275	309	811
276	310	809
277	310	807
278	311	804
279	312	802
280	312	800
281	313	798
282	314	796
283	314	793
284	315	791
285	316	789
286	316	787
287	317	785
288	318	783
289	318	780
290	319	778
291	320	776
292	320	773
293	321	771
294	321	769
295	322	767
296	323	764
297	323	762
298	324	760
299	325	758
300	325	756
301	326	753
302	326	751
303	327	749
304	328	747
305	328	746
306	329	744
307	330	742
308	331	741
309	332	739
310	333	737
311	333	735
312	334	733
313	334	731
314	335	729
315	336	727
316	336	725
317	337	723
318	338	721
319	338	719
320	339	717
321	339	715
322	340	713
323	341	711
324	341	709
325	342	707
326	343	706
327	344	704
328	344	703
329	345	701
330	346	699
331	346	697
332	347	696
333	348	694
334	348	692
335	349	690
336	349	688
337	350	686
338	350	684
339	351	682
340	352	680
341	352	678
342	353	676
343	353	674
344	354	672
345	354	670
346	355	668
347	355	666
348	356	665
349	357	664
350	358	663
351	359	661
352	359	659
353	360	657
354	361	656
